#SA  FB
0.30471     0.30374     
0.30383     0.30387     
0.30335     0.3037      
0.3036      0.30377     
0.30451     0.30383     
0.30079     0.3037      
0.30592     0.30375     
0.30038     0.30378     
0.30178     0.30374     
0.29774     0.30387     
0.29945     0.30369     
0.29971     0.3036      
0.29835     0.30372     
0.30235     0.30374     
0.29948     0.30369     
0.30139     0.30367     
0.30187     0.30367     
0.30464     0.30367     
0.3011      0.30361     
0.30497     0.30372     
0.30403     0.30374     
0.30403     0.30384     
0.30079     0.30364     
0.30354     0.30366     
0.3039      0.3037      
0.30091     0.30361     
0.30836     0.3036      
0.30288     0.30364     
0.30705     0.30367     
0.30293     0.30366     
0.3027      0.30374     
0.30227     0.30369     
0.30232     0.30367     
0.30627     0.30378     
0.30663     0.30361     
0.3063      0.30378     
0.30291     0.30374     
0.30657     0.30374     
0.30383     0.30381     
0.30718     0.30364     
0.30608     0.30381     
0.30201     0.30381     
0.30374     0.30384     
0.30412     0.30369     
0.30236     0.3038      
0.30105     0.3037      
0.29922     0.30381     
0.30401     0.30381     
0.29684     0.30384     
0.30071     0.30374     
0.29922     0.3038      
0.29855     0.30378     
0.29972     0.30366     
0.30033     0.30389     
0.29746     0.3037      
0.29292     0.3038      
0.30108     0.30375     
0.29681     0.30367     
0.29748     0.30375     
0.30125     0.30366     
0.29913     0.30381     
0.30039     0.30377     
0.30363     0.30367     
0.29978     0.30364     
0.30377     0.30361     
0.30076     0.30375     
0.30171     0.30372     
0.30135     0.30364     
0.30241     0.30378     
0.30164     0.30372     
0.30183     0.3037      
0.30108     0.30355     
0.30081     0.30375     
0.30146     0.30381     
0.30225     0.30372     
0.29951     0.3037      
0.30489     0.30366     
0.30316     0.30377     
0.30168     0.30381     
0.30406     0.30378     
0.3003      0.30375     
0.30976     0.30374     
0.30383     0.30377     
0.30879     0.30372     
0.30526     0.30375     
0.30341     0.30381     
0.30596     0.30375     
0.30555     0.30374     
0.30639     0.30374     
0.30323     0.3038      
0.30523     0.30381     
0.30625     0.30383     
0.30348     0.30395     
0.30544     0.30392     
0.30248     0.30395     
0.2992      0.30403     
0.30721     0.30383     
0.30009     0.3039      
0.30106     0.30392     
0.30113     0.30395     
0.30087     0.30384     
0.30102     0.30386     
0.29804     0.30386     
0.2983      0.3038      
0.29823     0.30392     
0.3021      0.30372     
0.2973      0.30383     
0.29885     0.30384     
0.29919     0.30384     
0.30329     0.30389     
0.30135     0.30383     
0.30259     0.30383     
0.30166     0.30381     
0.29991     0.30378     
0.30082     0.30383     
0.3029      0.30383     
0.30096     0.30396     
0.30573     0.30375     
0.30357     0.30384     
0.30215     0.30384     
0.30311     0.30387     
0.30056     0.30374     
0.30496     0.3038      
0.30322     0.30381     
0.30389     0.30381     
0.30076     0.3039      
0.30299     0.30383     
0.3011      0.3039      
0.30599     0.30384     
0.3059      0.30364     
0.30406     0.30372     
0.30514     0.30374     
0.30518     0.30381     
0.30757     0.30392     
0.30975     0.30383     
0.30215     0.30375     
0.30799     0.30393     
0.31237     0.30381     
0.30433     0.30375     
0.3077      0.30375     
0.30729     0.30381     
0.30297     0.30392     
0.30235     0.30396     
0.30213     0.3039      
0.30151     0.30396     
0.30258     0.30386     
0.30375     0.30389     
0.30126     0.30387     
0.30058     0.30389     
0.30288     0.30396     
0.30036     0.30396     
0.29911     0.30386     
0.29739     0.30375     
0.30041     0.30387     
0.29884     0.30386     
0.29868     0.30386     
0.29749     0.3038      
0.30271     0.30381     
0.30099     0.30383     
0.29792     0.30358     
0.30055     0.30386     
0.30056     0.30375     
0.29974     0.30381     
0.30489     0.3037      
0.30114     0.30389     
0.30181     0.30387     
0.30283     0.3038      
0.30343     0.30372     
0.30143     0.30378     
0.30154     0.30381     
0.30464     0.30375     
0.29896     0.3037      
0.30097     0.30381     
0.30538     0.30375     
0.30097     0.30377     
0.2969      0.30375     
0.30287     0.30367     
0.30161     0.30375     
0.30111     0.30386     
0.30631     0.30383     
0.30222     0.30387     
0.30628     0.30384     
0.30572     0.3038      
0.30656     0.30389     
0.30403     0.30387     
0.31022     0.30384     
0.30198     0.3038      
0.30554     0.30386     
0.30496     0.30386     
0.30377     0.30386     
0.30633     0.30386     
0.3025      0.3038      
0.30532     0.30395     
0.30256     0.30378     
0.30236     0.30393     
0.30175     0.30392     
0.30181     0.30393     
0.30047     0.30386     
0.29812     0.30381     
0.30332     0.3039      
0.29948     0.30393     
0.29875     0.30395     
0.29994     0.30392     
0.29766     0.30381     
0.29881     0.30386     
0.29957     0.30387     
0.29672     0.30395     
0.29835     0.30381     
0.29978     0.3038      
0.30135     0.30384     
0.29925     0.30377     
0.29917     0.30378     
0.30163     0.30399     
0.29928     0.30372     
0.30169     0.30374     
0.30213     0.30378     
0.30193     0.30369     
0.30287     0.30375     
0.3041      0.30386     
0.29998     0.30386     
0.30341     0.30372     
0.30251     0.30374     
0.3039      0.30377     
0.30369     0.30383     
0.30161     0.30374     
0.30929     0.3038      
0.30338     0.30361     
0.30506     0.30392     
0.30332     0.30381     
0.3045      0.30392     
0.30595     0.30364     
0.30598     0.30383     
0.30346     0.30375     
0.30566     0.3038      
0.30734     0.30377     
0.30666     0.30383     
0.30729     0.3038      
