# Freq.    Re    Im
77.178     -0.356232  -0.559081 
77.6236    -0.355888  -0.562125 
78.0717    -0.355535  -0.565178 
78.5224    -0.355171  -0.568241 
78.9757    -0.354797  -0.571314 
79.4317    -0.354559  -0.574508 
79.8902    -0.354311  -0.577713 
80.3514    -0.354054  -0.58093  
80.8153    -0.353786  -0.584159 
81.2819    -0.353509  -0.5874   
81.7511    -0.353221  -0.590652 
82.2231    -0.352923  -0.593915 
82.6977    -0.352614  -0.597191 
83.1752    -0.352296  -0.600478 
83.6553    -0.351966  -0.603777 
84.1383    -0.351697  -0.607327 
84.624     -0.351416  -0.610891 
85.1126    -0.351125  -0.614469 
85.6039    -0.350821  -0.618061 
86.0981    -0.350506  -0.621667 
86.5952    -0.350179  -0.625288 
